name,number,hs,packing,,,,,
FALCON SUP CALCIUM GREASE # 3 ( 0.453 KG ),FA-NB-0037-054,,24 X 1 LBS,,,,,
FALCON SUP CALCIUM GREASE # 3 ( 0.906 KG ),FA-NB-0037-056,,24 X 2 LBS,,,,,
FALCON SUP CALCIUM GREASE # 2 / 3,FA-NB-0004-022,,15 KGS,,,,,
SHARLU LITHIUM COMPLEX BLU GREASE # EP-2,SH-NB-0306-022,,15 KGS,,,,,
SHARLU COMPRESSOR OILS - 32 - 46 - 68,SH-BL-0025/0026/0027-008,,20 LTRS,,,,,
SHARLU BRAKE FLUID DOT - 3,SH-NB-0057-047,,24 X 250 ML,,,,,
SHARLU BRAKE FLUID DOT - 4,SH-NB-0085-047,,24 X 250 ML,,,,,
SHARLU BRAKE FLUID DOT - 4,SH-NB-0084-050,,12 X 500 ML,,,,,
SHARLU SOLCUT SOLUBLE CUTTING OIL,SH-BL-0152-008,,20 LTRS,,,,,
SHARLU SOLCUT SOLUBLE CUTTING OIL,SH-BL-0152-018,,208 LTRS,,,,,
SHARLU FLUSHING OILS,SH-BL-0169-131,,4 X 4 LTRS,,,,,
SHARLU ACE 5W/20 (SN) (F.S.) ECAS LOGO ,SH-BL-1399-131,,4 X 4 LTRS,,,,,
